,,,Balaka,,,,Blantyre,,,,Chikwawa,,,,Chiradzulu,,,,Chitipa,,,,Dedza,,,,Dowa,,,,Karonga,,,,Kasungu,,,,Likoma,,,,Lilongwe,,,,Machinga,,,,Mangochi,,,,Mchinji,,,,Mulanje,,,,Mwanza,,,,Mzimba North,,,,Mzimba South,,,,Neno,,,,Nkhatabay,,,,Nkhotakota,,,,Nsanje,,,,Ntcheu,,,,Ntchisi,,,,Phalombe,,,,Rumphi,,,,Salima,,,,Thyolo,,,,Zomba,,,
Epi week,Week start,Week,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D
9,1,28-Feb-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,07-Mar-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3,14-Mar-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,1,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,21-Mar-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5,28-Mar-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1,54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6,04-Apr-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,69,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,7,11-Apr-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,71,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,8,18-Apr-22,,,,,3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,73,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9,25-Apr-22,,,,,10,1,13,1,3,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,15,0,15,0,,,,,,,,,7,0,80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
