epi_week,week_start,week,cases,deaths,c_cases,c_deaths,district
21,13,2022-05-23,9,1,9,1,Balaka
22,14,2022-05-30,2,0,11,1,Balaka
23,15,2022-06-06,10,2,21,2,Balaka
24,16,2022-06-13,1,0,22,2,Balaka
25,17,2022-06-20,0,0,22,0,Balaka
26,18,2022-06-27,0,0,22,0,Balaka
27,19,2022-07-04,0,0,22,0,Balaka
28,20,2022-07-11,0,0,22,0,Balaka
29,21,2022-07-18,0,0,22,0,Balaka
30,22,2022-07-25,0,0,22,0,Balaka
31,23,2022-08-01,0,0,22,0,Balaka
32,24,2022-08-08,0,0,22,0,Balaka
33,25,2022-08-15,0,0,22,0,Balaka
34,26,2022-08-22,0,0,22,0,Balaka
35,27,2022-08-29,1,0,23,0,Balaka
36,28,2022-09-05,0,0,23,0,Balaka
37,29,2022-09-12,0,0,23,0,Balaka
38,30,2022-09-19,5,0,28,0,Balaka
39,31,2022-09-26,2,0,30,0,Balaka
40,32,2022-10-03,6,0,36,0,Balaka
41,33,2022-10-10,2,0,38,0,Balaka
42,34,2022-10-17,7,0,45,0,Balaka
43,35,2022-10-24,9,0,54,0,Balaka
44,36,2022-10-31,3,0,57,0,Balaka
45,37,2022-11-07,13,0,70,0,Balaka
46,38,2022-11-14,12,0,82,0,Balaka
47,39,2022-11-21,17,0,99,0,Balaka
48,40,2022-11-28,5,0,104,0,Balaka
49,41,2022-12-05,1,0,105,0,Balaka
50,42,2022-12-12,22,0,127,0,Balaka
51,43,2022-12-19,16,0,143,0,Balaka
52,44,2022-12-26,60,2,203,2,Balaka
1,45,2023-01-02,220,0,423,2,Balaka
2,46,2023-01-09,296,9,719,9,Balaka
3,47,2023-01-16,453,13,1172,22,Balaka
4,48,2023-01-23,462,12,1634,25,Balaka
5,49,2023-01-30,648,11,2282,23,Balaka
6,50,2023-02-06,501,14,2783,25,Balaka
7,51,2023-02-13,353,2,3136,16,Balaka
8,52,2023-02-20,302,6,3438,8,Balaka
9,53,2023-02-27,270,4,3708,10,Balaka
10,54,2023-03-06,144,2,3852,6,Balaka
11,55,2023-03-13,65,1,3917,3,Balaka
12,56,2023-03-20,38,1,3955,2,Balaka
13,57,2023-03-27,47,1,4002,2,Balaka
14,58,2023-04-03,29,0,4031,1,Balaka
15,59,2023-04-10,26,0,4057,0,Balaka
16,60,2023-04-17,29,0,4086,0,Balaka
17,61,2023-04-24,9,0,4095,0,Balaka
18,62,2023-05-01,6,0,4101,0,Balaka
19,63,2023-05-08,3,0,4104,0,Balaka
20,64,2023-05-15,8,1,4112,1,Balaka
21,65,2023-05-22,6,0,4118,1,Balaka
22,66,2023-05-29,2,0,4120,0,Balaka
23,67,2023-06-05,2,0,4122,0,Balaka
24,68,2023-06-12,6,0,4128,0,Balaka
25,69,2023-06-19,2,0,4130,0,Balaka
26,70,2023-06-26,0,0,4130,0,Balaka
27,71,2023-07-03,1,0,4131,0,Balaka
28,72,2023-07-10,1,0,4132,0,Balaka
29,73,2023-07-17,0,0,4132,0,Balaka
30,74,2023-07-24,0,0,4132,0,Balaka
31,75,2023-07-31,0,0,4132,0,Balaka
32,76,2023-08-07,0,0,4132,0,Balaka
33,77,2023-08-14,0,0,4132,0,Balaka
34,78,2023-08-21,0,0,4132,0,Balaka
